[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.23166023166023167, "normal_loose_rate": 0.22972972972972974, "normal_a8_rate": 0.09266409266409266, "n_missed": 30, "missed_far": 12, "missed_loose": 12, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.7411764705882353, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6610655554061926, "expected": 0.6169287986736568, "transition": 0.7075323744230856}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6276814386640975, "expected": 0.566859344894027, "transition": 0.6578034682080924}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1833976833976834, "normal_loose_rate": 0.1718146718146718, "normal_a8_rate": 0.06756756756756757, "n_missed": 30, "missed_far": 22, "missed_loose": 22, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 4.2681647940074905, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7559259757135816, "expected": 0.8241699153111977, "transition": 0.7522964556167944}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7430956968529223, "expected": 0.855684007707129, "transition": 0.7268464996788696}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.3281853281853282, "normal_loose_rate": 0.3223938223938224, "normal_a8_rate": 0.12548262548262548, "n_missed": 30, "missed_far": 21, "missed_loose": 21, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 2.17125748502994, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7559259757135816, "expected": 0.7101312900479455, "transition": 0.7305641439261549}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.7430956968529223, "expected": 0.7393063583815029, "transition": 0.7019910083493899}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:55", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.16795366795366795, "normal_loose_rate": 0.16216216216216217, "normal_a8_rate": 0.06563706563706563, "n_missed": 30, "missed_far": 15, "missed_loose": 14, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 2.8777777777777778, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6589147286821706, "expected": 0.7545817090110678, "transition": 0.7543576645606489}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6382145150931279, "expected": 0.7890173410404624, "transition": 0.7262042389210019}, "auroc_hard_f
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:55", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.277992277992278, "normal_loose_rate": 0.27606177606177607, "normal_a8_rate": 0.1138996138996139, "n_missed": 30, "missed_far": 19, "missed_loose": 18, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.1734265734265734, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6589147286821706, "expected": 0.6877268450060492, "transition": 0.7477259488282475}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6382145150931279, "expected": 0.7359666024405909, "transition": 0.7244701348747592}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 23, "normal_far_rate": 0.16023166023166024, "normal_loose_rate": 0.14478764478764478, "normal_a8_rate": 0.06177606177606178, "n_missed": 30, "missed_far": 19, "missed_loose": 19, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 4.3742222222222225, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7450374154232199, "expected": 0.7610341891831339, "transition": 0.7541784290003136}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.738985228002569, "expected": 0.7892100192678227, "transition": 0.725626204238921}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "WADI_clean", "latad_seed": 2, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 23, "normal_far_rate": 0.27413127413127414, "normal_loose_rate": 0.2644787644787645, "normal_a8_rate": 0.09266409266409266, "n_missed": 30, "missed_far": 18, "missed_loose": 17, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.1425790754257905, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.7450374154232199, "expected": 0.6570327552986512, "transition": 0.7265313438186137}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.738985228002569, "expected": 0.6778420038535645, "transition": 0.6964675658317276}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.07528957528957529, "normal_loose_rate": 0.07335907335907337, "normal_a8_rate": 0.04247104247104247, "n_missed": 30, "missed_far": 13, "missed_loose": 12, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 5.4526315789473685, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6613344087466954, "expected": 0.7539095756598109, "transition": 0.7338351929022717}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6102119460500963, "expected": 0.7495825305073859, "transition": 0.6994219653179192}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.11583011583011583, "normal_loose_rate": 0.1138996138996139, "normal_a8_rate": 0.055984555984555984, "n_missed": 30, "missed_far": 12, "missed_loose": 12, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 3.511864406779661, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6613344087466954, "expected": 0.7601380113814581, "transition": 0.7328942062105123}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.6102119460500963, "expected": 0.77077713551702, "transition": 0.7004495825305074}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:00", "dataset": "WADI_clean", "latad_seed": 2, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08687258687258688, "normal_loose_rate": 0.08494208494208494, "normal_a8_rate": 0.02895752895752896, "n_missed": 30, "missed_far": 15, "missed_loose": 14, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 5.493939393939394, "auroc_hard": {"latad": 0.7329390151005959, "nearest": 0.6480261683918088, "expected": 0.7529685889680512, "transition": 0.6900569072904064}, "auroc_missed": {"latad": 0.6172768143866408, "nearest": 0.5968529222864483, "expected": 0.7782273603082851, "transition": 0.6445086705202313}, "auroc_hard_fuse
