[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.23166023166023167, "normal_loose_rate": 0.22972972972972974, "normal_a8_rate": 0.09266409266409266, "n_missed": 25, "missed_far": 6, "missed_loose": 6, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.0447058823529412, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6610655554061926, "expected": 0.6169287986736568, "transition": 0.7075323744230856}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5558381502890174, "expected": 0.4972639691714836, "transition": 0.5902890173410404}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.1833976833976834, "normal_loose_rate": 0.1718146718146718, "normal_a8_rate": 0.06756756756756757, "n_missed": 25, "missed_far": 17, "missed_loose": 17, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 3.9577528089887646, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7559259757135816, "expected": 0.8241699153111977, "transition": 0.7522964556167944}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6961078998073218, "expected": 0.8433911368015414, "transition": 0.6732177263969171}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.3281853281853282, "normal_loose_rate": 0.3223938223938224, "normal_a8_rate": 0.12548262548262548, "n_missed": 25, "missed_far": 16, "missed_loose": 16, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.9851497005988024, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7559259757135816, "expected": 0.7101312900479455, "transition": 0.7305641439261549}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6961078998073218, "expected": 0.7220809248554914, "transition": 0.6440077071290944}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:55", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.16795366795366795, "normal_loose_rate": 0.16216216216216217, "normal_a8_rate": 0.06563706563706563, "n_missed": 25, "missed_far": 10, "missed_loose": 10, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 2.466666666666667, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6589147286821706, "expected": 0.7545817090110678, "transition": 0.7543576645606489}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5650867052023122, "expected": 0.7633911368015414, "transition": 0.6703660886319845}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:55", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.277992277992278, "normal_loose_rate": 0.27606177606177607, "normal_a8_rate": 0.1138996138996139, "n_missed": 25, "missed_far": 14, "missed_loose": 14, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 2.028531468531469, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6589147286821706, "expected": 0.6877268450060492, "transition": 0.7477259488282475}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5650867052023122, "expected": 0.7154527938342967, "transition": 0.6678227360308285}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 23, "normal_far_rate": 0.16023166023166024, "normal_loose_rate": 0.14478764478764478, "normal_a8_rate": 0.06177606177606178, "n_missed": 25, "missed_far": 14, "missed_loose": 14, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 3.867733333333334, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7450374154232199, "expected": 0.7610341891831339, "transition": 0.7541784290003136}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6932562620423892, "expected": 0.7620809248554914, "transition": 0.673757225433526}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "WADI_clean", "latad_seed": 1, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 23, "normal_far_rate": 0.27413127413127414, "normal_loose_rate": 0.2644787644787645, "normal_a8_rate": 0.09266409266409266, "n_missed": 25, "missed_far": 13, "missed_loose": 13, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.9661313868613137, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.7450374154232199, "expected": 0.6570327552986512, "transition": 0.7265313438186137}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.6932562620423892, "expected": 0.6453179190751446, "transition": 0.6395375722543353}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.07528957528957529, "normal_loose_rate": 0.07335907335907337, "normal_a8_rate": 0.04247104247104247, "n_missed": 25, "missed_far": 10, "missed_loose": 10, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 5.4526315789473685, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6613344087466954, "expected": 0.7539095756598109, "transition": 0.7338351929022717}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5410404624277456, "expected": 0.7177649325626204, "transition": 0.6448554913294797}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:59", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.11583011583011583, "normal_loose_rate": 0.1138996138996139, "normal_a8_rate": 0.055984555984555984, "n_missed": 25, "missed_far": 9, "missed_loose": 9, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 3.160677966101695, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6613344087466954, "expected": 0.7601380113814581, "transition": 0.7328942062105123}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.5410404624277456, "expected": 0.7531406551059731, "transition": 0.6466281310211945}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:00", "dataset": "WADI_clean", "latad_seed": 1, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.08687258687258688, "normal_loose_rate": 0.08494208494208494, "normal_a8_rate": 0.02895752895752896, "n_missed": 25, "missed_far": 11, "missed_loose": 11, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 5.180000000000001, "auroc_hard": {"latad": 0.7146569879464086, "nearest": 0.6480261683918088, "expected": 0.7529685889680512, "transition": 0.6900569072904064}, "auroc_missed": {"latad": 0.5148362235067437, "nearest": 0.522466281310212, "expected": 0.7438150289017342, "transition": 0.5865125240847784}, "auroc_hard_fused
