[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:19", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 16, "normal_far_rate": 0.07140839101568018, "normal_loose_rate": 0.03234920186467015, "normal_a8_rate": 0.007698827518011019, "n_missed": 56, "missed_far": 5, "missed_loose": 5, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.760059263880225, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5773487259968664, "expected": 0.7173882629320311, "transition": 0.7349698147292624}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.36176627776825415, "expected": 0.49072290736016294, "transition": 0.45068771491090964}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:33", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.09012572397231247, "normal_loose_rate": 0.04139002683994915, "normal_a8_rate": 0.008758299194801526, "n_missed": 56, "missed_far": 9, "missed_loose": 9, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 3.882922964407606, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5808195143559144, "expected": 0.6887258869710287, "transition": 0.7447314730319132}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.343789389829483, "expected": 0.47572830219120893, "transition": 0.487376347447287}, "auroc_hard_fused": {"z
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:33", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.13490606017799125, "normal_loose_rate": 0.08659415171634412, "normal_a8_rate": 0.024085322785704195, "n_missed": 56, "missed_far": 6, "missed_loose": 6, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 1.2372989979025868, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5808195143559144, "expected": 0.7079922177245002, "transition": 0.7413906569581244}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.343789389829483, "expected": 0.46496384959009374, "transition": 0.47010028335467735}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:45", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.11809577623958187, "normal_loose_rate": 0.04972453736403447, "normal_a8_rate": 0.012572397231247352, "n_missed": 56, "missed_far": 3, "missed_loose": 3, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.0773640422077921, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6306213013374676, "expected": 0.6978374725103333, "transition": 0.7376106824960934}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.38672241325414186, "expected": 0.44928606721858644, "transition": 0.4716393227722373}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:05:45", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.16238169232942506, "normal_loose_rate": 0.09464613645995197, "normal_a8_rate": 0.02860573527334369, "n_missed": 56, "missed_far": 16, "missed_loose": 16, "missed_a8": 3, "missed_no_ctx": 0, "enrichment_loose": 3.0187633262260127, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.6306213013374676, "expected": 0.7361101894467577, "transition": 0.7455345538188816}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.38672241325414186, "expected": 0.533968528471599, "transition": 0.48814271596970826}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:00", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 24, "normal_far_rate": 0.13518858595846872, "normal_loose_rate": 0.03708150868766775, "normal_a8_rate": 0.009817770871592033, "n_missed": 56, "missed_far": 9, "missed_loose": 9, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 4.334081632653062, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5657987335838665, "expected": 0.6725539532919762, "transition": 0.7165974396939163}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.33470641026933823, "expected": 0.48262687936754434, "transition": 0.4316217769665924}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:00", "dataset": "HAI", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 24, "normal_far_rate": 0.17396524932900126, "normal_loose_rate": 0.07628196072891652, "normal_a8_rate": 0.023379008334510523, "n_missed": 56, "missed_far": 6, "missed_loose": 6, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 1.404563492063492, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.5657987335838665, "expected": 0.6843364164590986, "transition": 0.7195198084102846}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.33470641026933823, "expected": 0.4107142857142857, "transition": 0.43129783500892416}, "auroc_hard_fused": 
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:16", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.13589490040966237, "normal_loose_rate": 0.023167113999152424, "normal_a8_rate": 0.002895889249894053, "n_missed": 56, "missed_far": 9, "missed_loose": 6, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 4.624782229965156, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7544162046486543, "expected": 0.8224895588930842, "transition": 0.7870301607556398}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.5566142141193317, "expected": 0.5804245782452178, "transition": 0.5358592402867831}, "auroc_hard_fused": {"z
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:16", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 8, "normal_far_rate": 0.14846729764090974, "normal_loose_rate": 0.041107501059471675, "normal_a8_rate": 0.00593304139002684, "n_missed": 56, "missed_far": 11, "missed_loose": 8, "missed_a8": 2, "missed_no_ctx": 0, "enrichment_loose": 3.475208640157094, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7544162046486543, "expected": 0.8273642592699826, "transition": 0.7870893351294165}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.5566142141193317, "expected": 0.5965347033851304, "transition": 0.5367050187054423}, "auroc_hard_fused": {"z
[obs_sweep] {"kind": "obs_sweep", "ts": "10:06:24", "dataset": "HAI", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 8, "normal_far_rate": 0.10291001553891793, "normal_loose_rate": 0.01850543862127419, "normal_a8_rate": 7.063144511936714e-05, "n_missed": 56, "missed_far": 0, "missed_loose": 0, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.0, "auroc_hard": {"latad": 0.8183118481044545, "nearest": 0.7277247580085118, "expected": 0.6784160203627474, "transition": 0.8244456946205}, "auroc_missed": {"latad": 0.4963900009075417, "nearest": 0.49154851818612677, "expected": 0.2858768869303916, "transition": 0.5896714194960119}, "auroc_hard_fused": {"zsum_exp": 0.7780
