[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:49", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 16, "gmm_seed": 2, "rule": "maj3", "n_regimes": 11, "normal_far_rate": 0.5930324623911323, "normal_loose_rate": 0.5906571654790183, "normal_a8_rate": 0.32066508313539194, "n_missed": 33, "missed_far": 17, "missed_loose": 17, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 0.8721667072873507, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.794605905603348, "expected": 0.6045012787723786, "transition": 0.8058126017205302}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6235716852317643, "expected": 0.5379566415139537, "transition": 0.5862498502814708}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:49", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "prev", "n_regimes": 17, "normal_far_rate": 0.38558986539984164, "normal_loose_rate": 0.3847980997624703, "normal_a8_rate": 0.15756136183689629, "n_missed": 33, "missed_far": 20, "missed_loose": 20, "missed_a8": 7, "missed_no_ctx": 0, "enrichment_loose": 1.5750093527871305, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7037433155080214, "expected": 0.7313554987212275, "transition": 0.8364566379911649}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.632363157264343, "expected": 0.6431428913642353, "transition": 0.6418493232722482}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:49", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 0, "rule": "maj3", "n_regimes": 17, "normal_far_rate": 0.5217735550277118, "normal_loose_rate": 0.5209817893903405, "normal_a8_rate": 0.28186856690419637, "n_missed": 33, "missed_far": 22, "missed_loose": 22, "missed_a8": 7, "missed_no_ctx": 0, "enrichment_loose": 1.2796352583586625, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7037433155080214, "expected": 0.6561822831899558, "transition": 0.8245152290165078}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.632363157264343, "expected": 0.6110911486405557, "transition": 0.6134866451071984}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "prev", "n_regimes": 17, "normal_far_rate": 0.3784639746634996, "normal_loose_rate": 0.3745051464766429, "normal_a8_rate": 0.16785431512272367, "n_missed": 33, "missed_far": 16, "missed_loose": 16, "missed_a8": 4, "missed_no_ctx": 0, "enrichment_loose": 1.2946377090140304, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7664636131132295, "expected": 0.7205766100906764, "transition": 0.8339176935596373}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6099652653012337, "expected": 0.61166606779255, "transition": 0.6210564139417895}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:50", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 1, "rule": "maj3", "n_regimes": 17, "normal_far_rate": 0.6294536817102138, "normal_loose_rate": 0.6286619160728424, "normal_a8_rate": 0.31353919239904987, "n_missed": 33, "missed_far": 20, "missed_loose": 20, "missed_a8": 5, "missed_no_ctx": 0, "enrichment_loose": 0.9640485459125259, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7664636131132295, "expected": 0.6333596837944664, "transition": 0.8352476168332946}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.6099652653012337, "expected": 0.5879746077374536, "transition": 0.6295604263983711}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "prev", "n_regimes": 17, "normal_far_rate": 0.43626286619160726, "normal_loose_rate": 0.42755344418052255, "normal_a8_rate": 0.171021377672209, "n_missed": 33, "missed_far": 24, "missed_loose": 24, "missed_a8": 6, "missed_no_ctx": 0, "enrichment_loose": 1.701010101010101, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7836224133922344, "expected": 0.7649941873982795, "transition": 0.8278446872820274}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5792070906695412, "expected": 0.6649658641753504, "transition": 0.6098694454425679}, "auroc_hard_fuse
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:51", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 10, "K": 24, "gmm_seed": 2, "rule": "maj3", "n_regimes": 17, "normal_far_rate": 0.7830562153602534, "normal_loose_rate": 0.7767220902612827, "normal_a8_rate": 0.3642121931908155, "n_missed": 33, "missed_far": 26, "missed_loose": 26, "missed_a8": 7, "missed_no_ctx": 0, "enrichment_loose": 1.014363821703271, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7836224133922344, "expected": 0.6888723552662173, "transition": 0.8296210183678213}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5792070906695412, "expected": 0.6353335728829801, "transition": 0.6167684752664989}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "prev", "n_regimes": 5, "normal_far_rate": 0.3475851148060174, "normal_loose_rate": 0.3404592240696754, "normal_a8_rate": 0.022169437846397466, "n_missed": 33, "missed_far": 18, "missed_loose": 18, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 1.6021141649048625, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8006603115554523, "expected": 0.758158567774936, "transition": 0.8296954196698443}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5772667385315607, "expected": 0.6407713498622589, "transition": 0.6333692657803329}, "auroc_hard_fused
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:53", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 0, "rule": "maj3", "n_regimes": 5, "normal_far_rate": 0.6310372129849564, "normal_loose_rate": 0.6247030878859857, "normal_a8_rate": 0.0625494853523357, "n_missed": 33, "missed_far": 28, "missed_loose": 28, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.358220993201982, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.8006603115554523, "expected": 0.6528993257382004, "transition": 0.8344571029993025}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5772667385315607, "expected": 0.6018684872439813, "transition": 0.6404599353215954}, "auroc_hard_fused":
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "prev", "n_regimes": 5, "normal_far_rate": 0.1021377672209026, "normal_loose_rate": 0.09897070467141726, "normal_a8_rate": 0.0, "n_missed": 33, "missed_far": 2, "missed_loose": 2, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.6123636363636363, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6834689607068124, "expected": 0.6579400139502442, "transition": 0.7343873517786562}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5839980836028267, "expected": 0.589507725476105, "transition": 0.49893400407234406}, "auroc_hard_fused": {"zsum_exp": 0
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:54", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 1, "rule": "maj3", "n_regimes": 5, "normal_far_rate": 0.13222486144101345, "normal_loose_rate": 0.13143309580364212, "normal_a8_rate": 0.000791765637371338, "n_missed": 33, "missed_far": 2, "missed_loose": 2, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 0.4611171960569551, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.6834689607068124, "expected": 0.5164287375029062, "transition": 0.7196186933271332}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5839980836028267, "expected": 0.41825368307581745, "transition": 0.47349383159659836}, "auroc_hard_fu
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "prev", "n_regimes": 4, "normal_far_rate": 0.19239904988123516, "normal_loose_rate": 0.1876484560570071, "normal_a8_rate": 0.01741884402216944, "n_missed": 33, "missed_far": 16, "missed_loose": 16, "missed_a8": 0, "missed_no_ctx": 0, "enrichment_loose": 2.583812811660913, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7302487793536385, "expected": 0.735931178795629, "transition": 0.8081841432225063}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5744400527009222, "expected": 0.6252006228290813, "transition": 0.5862498502814708}, "auroc_hard_fused"
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:56", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 8, "gmm_seed": 2, "rule": "maj3", "n_regimes": 4, "normal_far_rate": 0.41884402216943784, "normal_loose_rate": 0.4180522565320665, "normal_a8_rate": 0.052256532066508314, "n_missed": 33, "missed_far": 25, "missed_loose": 25, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.8121556473829201, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7302487793536385, "expected": 0.6731922808649151, "transition": 0.8058963031853058}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.5744400527009222, "expected": 0.6679362797939874, "transition": 0.5846688226134866}, "auroc_hard_fus
[obs_sweep] {"kind": "obs_sweep", "ts": "10:04:57", "dataset": "SWaT_canon", "latad_seed": 0, "dim": 20, "K": 16, "gmm_seed": 0, "rule": "prev", "n_regimes": 11, "normal_far_rate": 0.21852731591448932, "normal_loose_rate": 0.21773555027711797, "normal_a8_rate": 0.10292953285827396, "n_missed": 33, "missed_far": 8, "missed_loose": 8, "missed_a8": 1, "missed_no_ctx": 0, "enrichment_loose": 1.1133884297520662, "auroc_hard": {"latad": 0.8053754940711463, "nearest": 0.7424598930481285, "expected": 0.7579260637061148, "transition": 0.7747965589397814}, "auroc_missed": {"latad": 0.5459815546772068, "nearest": 0.577506288178225, "expected": 0.6630255120373698, "transition": 0.5597796143250688}, "auroc_hard_fuse
